Time                Sys  Sat              P1             L1             D1             S1 M1             P2             L2             D2             S2 M2
2024-06-07 00:00:00  C   C01   37450019.4140 195012125.9830        40.6910        40.9000  I  37450014.6840 158463326.6060        33.0660        41.9000  I
2024-06-07 00:00:00  C   C02   37584757.1880 195713782.8580         3.6050        37.4000  I  37584749.8360 159033489.2370         2.9300        41.0000  I
2024-06-07 00:00:00  C   C03   36807894.6950 191668427.9090        36.8550        43.3000  I  36807886.4690 155746292.1740        29.9490        43.8000  I
2024-06-07 00:00:00  C   C04   38859423.1410 202351270.3420        43.5120        37.3000  I  38859416.6210 164426979.7640        35.3550        39.0000  I
2024-06-07 00:00:00  C   C05   39774499.2810 207116116.5931       -14.2700        34.1000  I  39774494.2620 168298814.7132       -11.5980        36.6000  I
2024-06-07 00:00:00  C   C06   37422104.3130 194867031.0010     -1613.1680        42.3000  I  37422094.4220 158345502.8730     -1310.8320        42.9000  I
2024-06-07 00:00:00  C   C16   37896259.1560 197336037.4950     -1620.1370        43.1000  I  37896253.2850 160351780.1990     -1316.4960        39.6000  I
2024-06-07 00:00:00  C   C27   22023453.7110 114681888.4540     -1455.6370        50.8000  I  22023447.7380  93188398.0970     -1182.8240        49.7000  I
2024-06-07 00:00:00  C   C28   25266741.1800 131570502.3830     -2761.1800        40.7000  I  25266738.4450 106911784.9100     -2243.6840        38.2000  I
2024-06-07 00:00:00  C   C30   22392840.0000 116605372.3840      1084.4300        48.8000  I  22392835.8910  94751394.7390       881.1880        48.8000  I
2024-06-07 00:00:00  C   C36   23697473.7030 123399005.9960      2430.4490        45.2000  I  23697474.0940 100271811.3740      1974.9410        45.6000  I
2024-06-07 00:00:00  C   C37   24310695.3750 126592201.7120     -2783.4610        43.8000  I  24310694.9380 102866532.9700     -2261.7890        44.6000  I
2024-06-07 00:00:00  C   C38   39344805.9450 204878747.4720      1865.3280        39.3000  I  39344800.5390 166480745.2300      1515.7300        39.8000  I
2024-06-07 00:00:00  C   C39   38408235.6720 200002049.7760     -1756.2420        42.0000  I  38408227.1480 162518141.6950     -1427.0900        42.6000  I
2024-06-07 00:00:00  C   C40   36547396.6480 190311950.8540       -79.9100        48.6000  I  36547389.3400 154644073.7730       -64.9340        48.9000  I
2024-06-07 00:00:00  C   C46   21625409.5160 112609239.4390      -214.2270        50.8000  I  21625396.2580  91504206.7020      -174.0740        51.3000  I
2024-06-07 00:00:00  C   C59   37537516.9610 195467724.4000        21.1600        43.9000  I  37537498.5160 158833507.1660        17.1950        46.3000  I
2024-06-07 00:00:00  C   C60   38017112.2730 197965151.3840        34.8050        42.2000  I  38017091.0820 160862947.7970        28.2810        44.1000  I
2024-06-07 00:00:00  C   C62   38533533.9220 200654295.3260       -22.1020        41.9000  I  38533527.1990 163048059.5320       -17.9570        42.9000  I
2024-06-07 00:00:00  E   E13   26041738.5230 136850336.1330     -2372.5350        42.6000  X  26041749.0350 102193356.3940     -1771.6990        42.7000  X
2024-06-07 00:00:00  E   E21   24742604.6880 130023265.6390     -1036.3050        48.2000  X  24742613.1760  97095315.2630      -773.8630        47.0000  X
2024-06-07 00:00:00  E   E26   23220347.9140 122023737.6210       105.3590        50.4000  X  23220353.5860  91121613.0950        78.6800        50.1000  X
2024-06-07 00:00:00  E   E31   27023386.2500 142008862.8480      2246.1450        40.7000  X  27023398.4140 106045634.4400      1677.3160        39.6000  X
2024-06-07 00:00:00  E   E33   25000456.9770 131378293.0550      2451.7580        45.9000  X  25000462.8830  98107196.8680      1830.8590        45.9000  X
2024-06-07 00:00:00  E   E04   28372554.6330 149098714.9831     -1910.6640        29.5000  X         0.0000         0.0000         0.0000         0.0000  -
2024-06-07 00:00:00  G   G02   20844140.7970 109536672.7530     -1318.5980        50.2000  C  20844149.0270  85353277.8810     -1027.4800        44.2000  W
2024-06-07 00:00:00  G   G03   24022774.5230 126240470.1970      2928.4140        35.8000  C  24022792.0820  98369341.3060      2281.8790        30.4000  W
2024-06-07 00:00:00  G   G07   21052704.5310 110632633.5090     -1827.1640        46.3000  C  21052714.3200  86207385.3060     -1423.7660        47.3000  W
2024-06-07 00:00:00  G   G08   23320593.9610 122550490.8420     -2481.7070        39.2000  C  23320609.9450  95493918.7630     -1933.7970        35.5000  W
2024-06-07 00:00:00  G   G14   21823553.1800 114683723.2460      2449.1410        48.2000  X  21823566.3160  89363891.5710      1908.4220        36.1000  W
2024-06-07 00:00:00  G   G17   22446511.9840 117957301.7130      1465.8950        43.4000  C  22446523.4410  91914756.0620      1142.2540        40.7000  W
2024-06-07 00:00:00  G   G21   21366952.2810 112284021.9420     -2576.6840        46.6000  C  21366962.5980  87494106.8730     -2007.8050        38.5000  W
2024-06-07 00:00:00  G   G22   23789038.7420 125012154.6170      2506.5390        39.4000  C  23789051.9490  97412222.0350      1953.1480        23.5000  W
2024-06-07 00:00:00  G   G30   21192854.9220 111369189.4090        39.4140        46.5000  C  21192867.6130  86781270.8960        30.7110        50.0000  W
2024-06-07 00:00:00  R   R10   20600333.3480 109811422.3000      2908.5270        46.3000  P         0.0000         0.0000         0.0000        50.6000  -
2024-06-07 00:00:00  R   R16   22085109.1090 117974837.8320     -3397.8980        45.5000  P  22085119.6450  91757999.1630     -2642.8090        41.2000  P
2024-06-07 00:00:00  R   R19   21204029.2970 113427218.6250     -3338.6910        37.2000  P  21204036.7190  88221169.7640     -2596.7620        41.8000  P
2024-06-07 00:00:00  R   R20   19524849.2340 104408141.4420       804.9530        40.7000  P  19524856.9180  81206339.8730       626.0740        42.1000  P
2024-06-07 00:00:00  R   R21   23237882.9410 124350635.3720      3538.1800        42.1000  P  23237892.8910  96717199.3730      2751.9180        37.0000  P
2024-06-07 00:00:00  R   R09   19126764.8590 102135881.6550       -95.9650        51.9000  P  19126770.1370  79439066.4890       -74.6410        50.6000  P
2024-06-07 01:00:00  C   C01   37419697.3280 194854220.8720        46.2150        41.8000  I  37419692.2460 158335013.9790        37.5550        41.8000  I
2024-06-07 01:00:00  C   C02   37577038.8980 195673579.9070        18.3670        37.5000  I  37577032.1020 159000818.5780        14.9260        40.6000  I
2024-06-07 01:00:00  C   C03   36779360.8590 191519837.5290        45.4300        43.1000  I  36779353.2850 155625548.6350        36.9140        44.1000  I
2024-06-07 01:00:00  C   C04   38828535.7030 202190423.3520        44.8400        37.2000  I  38828528.8910 164296276.6780        36.4380        37.1000  I
2024-06-07 01:00:00  C   C05   39781088.5390 207150417.1021        -5.2770        33.4000  I  39781084.8130 168326683.5872        -4.2890        36.4000  I
2024-06-07 01:00:00  C   C06   38618950.5080 201099289.2590     -1801.8130        38.6000  I  38618942.8130 163409715.5110     -1464.1210        38.3000  I
2024-06-07 01:00:00  C   C13   39520319.1410 205792692.6140      1724.5200        37.7000  I  39520317.5940 167223419.5140      1401.3130        36.8000  I
2024-06-07 01:00:00  C   C16   39088323.3750 203543383.1250     -1778.4650        38.9000  I  39088318.8090 165395748.1330     -1445.1480        36.5000  I
2024-06-07 01:00:00  C   C27   23262681.1480 121134848.5640     -2011.2730        47.4000  I  23262676.3360  98431951.9800     -1634.3240        45.9000  I
2024-06-07 01:00:00  C   C29   24885197.0310 129583755.3210      1984.9060        41.7000  I  24885192.2420 105297403.8640      1612.9020        40.6000  I
2024-06-07 01:00:00  C   C30   22033710.0000 114735282.1740        20.6720        49.9000  I  22033706.0430  93231792.0130        16.7970        49.9000  I
2024-06-07 01:00:00  C   C32   26358172.2580 137253927.4660      2309.6640        37.6000  I  26358175.9840 111530083.0140      1876.7890        39.0000  I
2024-06-07 01:00:00  C   C36   22452106.2030 116914063.4460      1029.1520        49.5000  I  22452105.6880  95002267.1840       836.2700        49.6000  I
2024-06-07 01:00:00  C   C37   26470620.0160 137839368.0670     -3324.9410        34.5000  I  26470627.3710 112005748.7430     -2701.7890        38.1000  I
2024-06-07 01:00:00  C   C38   38084464.0780 198315829.2610      1728.3050        43.6000  I  38084457.6410 161147839.2470      1404.3910        43.9000  I
2024-06-07 01:00:00  C   C39   39643513.5470 206434405.6190     -1766.5120        38.4000  I  39643507.8980 167744945.1790     -1435.4380        37.9000  I
2024-06-07 01:00:00  C   C40   36517457.8280 190156046.9950       166.0590        48.6000  I  36517450.5000 154517388.1840       134.9380        49.3000  I
2024-06-07 01:00:00  C   C41   26536591.8360 138183017.3680      1192.7730        36.0000  I  26536597.7150 112285054.0700       969.2270        38.9000  I
2024-06-07 01:00:00  C   C46   22390977.7420 116595743.0470     -1958.3750        49.7000  I  22390965.5390  94743564.8640     -1591.3400        49.7000  I
2024-06-07 01:00:00  C   C59   37518637.7810 195369409.5100        33.2850        43.6000  I  37518619.8320 158753616.6150        27.0470        45.7000  I
2024-06-07 01:00:00  C   C60   37989296.8590 197820297.6540        44.8710        42.1000  I  37989276.6640 160745239.7140        36.4610        44.1000  I
2024-06-07 01:00:00  C   C62   38552538.2420 200753245.7380       -32.8910        42.1000  I  38552531.9020 163128462.8530       -26.7270        42.1000  I
2024-06-07 01:00:00  E   E13   27854950.9610 146378780.9590     -2784.8790        35.7000  X  27854965.9450 109308738.1550     -2079.6170        37.5000  X
2024-06-07 01:00:00  E   E21   25758585.6330 135362252.5640     -1942.3400        44.7000  X  25758596.0820 101082212.4940     -1450.4490        44.4000  X
2024-06-07 01:00:00  E   E26   23670723.5230 124390470.3380     -1332.6290        50.2000  X  23670729.6840  92888976.3310      -995.1450        48.8000  X
2024-06-07 01:00:00  E   E31   25466848.9610 133829232.6480      2213.7850        45.0000  X  25466858.7030  99937477.5970      1653.1520        43.3000  X
2024-06-07 01:00:00  E   E33   23731923.8360 124712111.5400      1192.8590        49.1000  X  23731929.8630  93129205.3360       890.7730        49.7000  X
